ATRIBUTOS:   2         
cross-validation

TAMANHO: 5125

A FREQUENCIA INDEPENDETE DA CLASSE
--------------------------------------
0	4813.0
1	748.0

A FREQUENCIA DA PALAVRA DADA UMA CLASSE
-----------------------------------------
          0	          1	
<laplace=1>	        5.0	SERVICES
      114.0	        5.0	Its
        3.0	<laplace=1>	priscillas
      147.0	        5.0	good
        3.0	<laplace=1>	Itz
        5.0	<laplace=1>	empty
<laplace=1>	        3.0	Careful
       26.0	<laplace=1>	til
        6.0	<laplace=1>	serious
<laplace=1>	        3.0	Foley
        9.0	<laplace=1>	others
        9.0	<laplace=1>	laugh
        4.0	<laplace=1>	tis
       22.0	<laplace=1>	making
        4.0	<laplace=1>	Youll
        3.0	<laplace=1>	Whom
<laplace=1>	        4.0	09061209465
        4.0	<laplace=1>	6hrs
        4.0	<laplace=1>	gona
       30.0	<laplace=1>	check
        3.0	<laplace=1>	1030
        7.0	<laplace=1>	8th
        3.0	<laplace=1>	relatives
        3.0	<laplace=1>	SIB
        3.0	<laplace=1>	WORRY
<laplace=1>	        6.0	onto
       16.0	<laplace=1>	gone
        4.0	<laplace=1>	walked
        7.0	<laplace=1>	NEED
        4.0	<laplace=1>	Lifpartnr
        4.0	<laplace=1>	gorgeous
<laplace=1>	       10.0	Video
       12.0	<laplace=1>	supposed
       42.0	<laplace=1>	Ive
<laplace=1>	        3.0	MK45
        6.0	<laplace=1>	Whos
<laplace=1>	        3.0	SIX
        5.0	<laplace=1>	Aft
<laplace=1>	       20.0	Todays
        4.0	<laplace=1>	romantic
        8.0	<laplace=1>	darren
<laplace=1>	        4.0	SK3
       13.0	<laplace=1>	hard
<laplace=1>	        6.0	Dload
<laplace=1>	        3.0	Islands
        3.0	<laplace=1>	wihtuot
        3.0	<laplace=1>	Yunny
        4.0	<laplace=1>	Gary
        3.0	<laplace=1>	NEFT
        5.0	<laplace=1>	ticket
        3.0	<laplace=1>	welp
        4.0	<laplace=1>	realized
        5.0	<laplace=1>	BIT
        3.0	<laplace=1>	concentrate
       33.0	<laplace=1>	room
       36.0	<laplace=1>	better
        3.0	<laplace=1>	tlk
        3.0	<laplace=1>	Shampain
<laplace=1>	        3.0	ACTION
<laplace=1>	        5.0	83600
<laplace=1>	        3.0	21st
        4.0	<laplace=1>	blakes
       79.0	        4.0	well
        5.0	<laplace=1>	cancer
        3.0	<laplace=1>	creepy
       17.0	<laplace=1>	taking
<laplace=1>	        3.0	07734396839
<laplace=1>	        3.0	SKY
        3.0	<laplace=1>	wishin
<laplace=1>	        3.0	CHOSEN
        4.0	<laplace=1>	SOMEONE
        3.0	<laplace=1>	lttrs
       10.0	<laplace=1>	loved
<laplace=1>	        3.0	09066364589
       24.0	<laplace=1>	tmr
        3.0	<laplace=1>	cld
        5.0	<laplace=1>	hate
<laplace=1>	        3.0	Available
<laplace=1>	        6.0	SonyEricsson
        8.0	       11.0	order
       47.0	<laplace=1>	went
<laplace=1>	        3.0	10ppm
       12.0	<laplace=1>	Havent
        5.0	<laplace=1>	considering
<laplace=1>	        4.0	Rate
<laplace=1>	        5.0	CAMERA
        3.0	<laplace=1>	propose
        4.0	<laplace=1>	bringing
        7.0	       25.0	SMS
       11.0	        3.0	crazy
<laplace=1>	        3.0	Aco&Entry41
       54.0	<laplace=1>	thats
        3.0	<laplace=1>	woman
<laplace=1>	        3.0	Draw
        3.0	<laplace=1>	toa
        7.0	<laplace=1>	save
        6.0	<laplace=1>	matter
        4.0	<laplace=1>	tog
        3.0	<laplace=1>	tok
        3.0	        5.0	goto
        3.0	<laplace=1>	tom
        3.0	<laplace=1>	walls
        7.0	       13.0	top
      103.0	<laplace=1>	too
<laplace=1>	       12.0	TONE
<laplace=1>	        3.0	FANTASY
      323.0	      121.0	have
       22.0	<laplace=1>	tot
        4.0	<laplace=1>	roast
       15.0	        7.0	question
       10.0	<laplace=1>	drugs
        3.0	        3.0	lover
        4.0	<laplace=1>	loves
        5.0	<laplace=1>	bcums
        7.0	        3.0	cheap
        5.0	<laplace=1>	wishing
<laplace=1>	        3.0	txttowin
        3.0	<laplace=1>	propsd
        4.0	<laplace=1>	BMW
        3.0	<laplace=1>	picture
        3.0	<laplace=1>	sarcastic
        3.0	<laplace=1>	cheat
<laplace=1>	        4.0	BOX95QU
        4.0	<laplace=1>	thanksgiving
        5.0	<laplace=1>	rose
        3.0	<laplace=1>	Mmmmm
       10.0	<laplace=1>	Very
       13.0	       48.0	com
       32.0	<laplace=1>	All
<laplace=1>	        3.0	4T&Ctxt
<laplace=1>	        3.0	AWARD
        3.0	<laplace=1>	minor
       54.0	<laplace=1>	cos
        3.0	<laplace=1>	yelling
        7.0	<laplace=1>	imma
        8.0	        6.0	lets
<laplace=1>	        5.0	150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL
        5.0	<laplace=1>	lab
        9.0	<laplace=1>	pray
<laplace=1>	        3.0	prepayment
        4.0	<laplace=1>	SPK
       11.0	<laplace=1>	coz
<laplace=1>	        3.0	gaytextbuddy
        3.0	<laplace=1>	lag
<laplace=1>	        4.0	biggest
        5.0	<laplace=1>	govt
        7.0	<laplace=1>	holla
<laplace=1>	        5.0	Row/W1JHL
        5.0	<laplace=1>	raise
        3.0	<laplace=1>	west
       30.0	<laplace=1>	quite
        3.0	<laplace=1>	2-u
       38.0	<laplace=1>	lar
       10.0	<laplace=1>	Plus
        3.0	<laplace=1>	telugu
<laplace=1>	       11.0	representative
<laplace=1>	        3.0	07xxxxxxxxx
        5.0	<laplace=1>	law
        4.0	<laplace=1>	coins
       12.0	<laplace=1>	Hmmm
        3.0	        4.0	IMPORTANT
       12.0	<laplace=1>	crave
        6.0	<laplace=1>	plenty
<laplace=1>	       10.0	BOX
       10.0	<laplace=1>	less
        6.0	<laplace=1>	christmas
       30.0	<laplace=1>	Aight
        3.0	<laplace=1>	adventure
<laplace=1>	        4.0	200
       62.0	        5.0	were
       99.0	<laplace=1>	And
        4.0	<laplace=1>	1His
        3.0	<laplace=1>	improve
        3.0	<laplace=1>	shining
<laplace=1>	        5.0	Opt-out
       42.0	        4.0	try
<laplace=1>	        8.0	cash-balance
        5.0	<laplace=1>	Hurry
<laplace=1>	        3.0	09066380611
        4.0	<laplace=1>	chicken
        6.0	<laplace=1>	Callers
        3.0	<laplace=1>	university
<laplace=1>	        4.0	PHONE
        3.0	<laplace=1>	weve
<laplace=1>	        3.0	150p/MTmsg
       18.0	<laplace=1>	Any
       26.0	<laplace=1>	times
        3.0	<laplace=1>	teaches
        3.0	<laplace=1>	teacher
<laplace=1>	        3.0	ADDAMSFA
<laplace=1>	        5.0	3GBP
        4.0	<laplace=1>	floor
       27.0	<laplace=1>	says
<laplace=1>	        4.0	87131
       38.0	        3.0	That
        3.0	<laplace=1>	probs
<laplace=1>	        3.0	20000
        3.0	<laplace=1>	Getting
        3.0	<laplace=1>	necklace
        5.0	<laplace=1>	cry
        3.0	<laplace=1>	Jsut
        3.0	<laplace=1>	opening
<laplace=1>	       22.0	£5000
        8.0	<laplace=1>	doctor
<laplace=1>	        3.0	£100000
<laplace=1>	        8.0	20p
        5.0	<laplace=1>	activities
        5.0	<laplace=1>	spoken
<laplace=1>	        4.0	£400
        5.0	<laplace=1>	respond
        4.0	<laplace=1>	incident
<laplace=1>	        5.0	sport
<laplace=1>	        5.0	87121
        3.0	<laplace=1>	caught
        4.0	        8.0	weekends
        3.0	<laplace=1>	prey
        6.0	<laplace=1>	Jay
        3.0	<laplace=1>	gotten
<laplace=1>	        3.0	09056242159
        3.0	<laplace=1>	concert
        3.0	<laplace=1>	Hurts
<laplace=1>	        4.0	supply
       30.0	<laplace=1>	leh
<laplace=1>	        3.0	Suite
       12.0	<laplace=1>	beautiful
       24.0	<laplace=1>	lei
        8.0	<laplace=1>	Bcoz
        4.0	<laplace=1>	docs
<laplace=1>	        3.0	Bloomberg
        4.0	<laplace=1>	RING
        3.0	<laplace=1>	2mrw
       57.0	<laplace=1>	let
       57.0	        3.0	Then
        7.0	<laplace=1>	lovable
        3.0	<laplace=1>	press
        3.0	<laplace=1>	dough
<laplace=1>	        3.0	C52
        4.0	<laplace=1>	cares
        3.0	<laplace=1>	redred
       92.0	        7.0	night
       34.0	<laplace=1>	havent
        4.0	<laplace=1>	Hear
        3.0	<laplace=1>	pack
<laplace=1>	       19.0	Code
        6.0	        9.0	each
       10.0	<laplace=1>	Ard
        4.0	<laplace=1>	Dear1
        4.0	<laplace=1>	cud
       71.0	<laplace=1>	Are
        4.0	<laplace=1>	gautham
<laplace=1>	        3.0	09064012160
        8.0	        6.0	cum
        3.0	<laplace=1>	alrite
        5.0	<laplace=1>	cup
        3.0	<laplace=1>	evrydy
<laplace=1>	        3.0	8552
       11.0	<laplace=1>	cut
       26.0	<laplace=1>	probably
        3.0	<laplace=1>	killing
        6.0	<laplace=1>	cuz
        6.0	<laplace=1>	dollars
        8.0	<laplace=1>	battery
<laplace=1>	        3.0	networks
       30.0	<laplace=1>	two
<laplace=1>	        5.0	250
        9.0	<laplace=1>	moment
<laplace=1>	        3.0	08708034412
<laplace=1>	        4.0	bx420-ip4-5we
<laplace=1>	        3.0	SW7
        5.0	<laplace=1>	tear
       10.0	<laplace=1>	worries
       20.0	        4.0	does
        4.0	<laplace=1>	Ask
        4.0	<laplace=1>	Valentine
        4.0	<laplace=1>	sachin
       10.0	<laplace=1>	worried
        7.0	<laplace=1>	situation
        5.0	<laplace=1>	Nature
        8.0	<laplace=1>	BUT
        3.0	        3.0	upto
<laplace=1>	        4.0	quiz
      115.0	        3.0	think
        3.0	<laplace=1>	BUS
<laplace=1>	        4.0	refused
<laplace=1>	        6.0	Calls
        3.0	<laplace=1>	Rum
        4.0	<laplace=1>	team
<laplace=1>	       13.0	services
       25.0	        3.0	They
        3.0	<laplace=1>	cricketer
        8.0	       68.0	txt
<laplace=1>	        8.0	82277
       31.0	<laplace=1>	watch
        5.0	<laplace=1>	quit
<laplace=1>	        3.0	LS15HB
<laplace=1>	        3.0	+447797706009
       60.0	<laplace=1>	thing
<laplace=1>	        4.0	Suprman
        4.0	<laplace=1>	insurance
        6.0	<laplace=1>	surely
        7.0	<laplace=1>	medical
        3.0	<laplace=1>	lib
        5.0	<laplace=1>	FRIEND
        3.0	<laplace=1>	NEVA
       11.0	<laplace=1>	Morning
        5.0	<laplace=1>	lie
        5.0	<laplace=1>	SORRY
        4.0	<laplace=1>	source
        3.0	<laplace=1>	anna
<laplace=1>	        9.0	25p
        3.0	<laplace=1>	lil
        6.0	<laplace=1>	lik
        4.0	        3.0	unable
        3.0	<laplace=1>	lip
       16.0	<laplace=1>	There
        8.0	<laplace=1>	workin
        8.0	<laplace=1>	paying
<laplace=1>	        3.0	HARRY
<laplace=1>	        3.0	Search
       42.0	       43.0	This
        3.0	<laplace=1>	Gimme
        5.0	<laplace=1>	shoot
        5.0	        3.0	starts
        7.0	<laplace=1>	budget
        3.0	<laplace=1>	tech
        3.0	<laplace=1>	actual
        7.0	<laplace=1>	campus
        3.0	<laplace=1>	Thgt
        3.0	<laplace=1>	jacket
        3.0	<laplace=1>	doubt
        3.0	<laplace=1>	develop
<laplace=1>	        3.0	7250
<laplace=1>	        3.0	Ave
        3.0	        3.0	These
        6.0	<laplace=1>	TOWN
        7.0	        3.0	fixed
<laplace=1>	        3.0	09066382422
        7.0	<laplace=1>	page
        5.0	<laplace=1>	assume
        4.0	<laplace=1>	GIRL
        3.0	<laplace=1>	hsbc
       21.0	<laplace=1>	full
        4.0	<laplace=1>	Italian
       23.0	        5.0	away
        3.0	<laplace=1>	callcoz
       32.0	<laplace=1>	house
        3.0	<laplace=1>	cuddling
        3.0	<laplace=1>	RITE
<laplace=1>	        5.0	10am-7pm
        3.0	<laplace=1>	cared
        3.0	<laplace=1>	Disconnect
<laplace=1>	       20.0	86688
        3.0	<laplace=1>	Wating
<laplace=1>	        4.0	84025
        3.0	        7.0	replying
        3.0	<laplace=1>	painful
        6.0	<laplace=1>	Damn
        9.0	<laplace=1>	doin
        3.0	<laplace=1>	Aww
       17.0	        6.0	hours
       25.0	<laplace=1>	pain
        3.0	<laplace=1>	Jia
       35.0	<laplace=1>	Happy
        3.0	        3.0	center
       25.0	        4.0	start
        3.0	<laplace=1>	shore
<laplace=1>	        4.0	purchase
        8.0	<laplace=1>	WHAT
        3.0	<laplace=1>	manage
<laplace=1>	       32.0	£2000
<laplace=1>	        3.0	hotels
        6.0	<laplace=1>	paid
        7.0	<laplace=1>	short
        3.0	<laplace=1>	MINUTES
<laplace=1>	        3.0	funk
<laplace=1>	        3.0	Provided
        3.0	<laplace=1>	finance
        3.0	<laplace=1>	anot
        4.0	<laplace=1>	parking
        9.0	<laplace=1>	tampa
        3.0	<laplace=1>	rewarding
       16.0	<laplace=1>	Come
        6.0	<laplace=1>	unsold
<laplace=1>	        3.0	Important
        3.0	<laplace=1>	trains
        5.0	<laplace=1>	three
<laplace=1>	        3.0	mobilesvary
<laplace=1>	        3.0	PLAY
        3.0	<laplace=1>	remembered
        3.0	<laplace=1>	forums
        4.0	<laplace=1>	WHEN
<laplace=1>	        3.0	landlines
<laplace=1>	        4.0	Network
<laplace=1>	        5.0	80488
       12.0	<laplace=1>	Wife
        3.0	<laplace=1>	mids
        5.0	<laplace=1>	season
        3.0	<laplace=1>	payment
        4.0	        8.0	enter
        4.0	<laplace=1>	lonely
        3.0	<laplace=1>	pale
        4.0	<laplace=1>	lousy
        3.0	<laplace=1>	threw
        4.0	<laplace=1>	PERSON
        3.0	<laplace=1>	convincing
        8.0	<laplace=1>	players
        4.0	<laplace=1>	roads
<laplace=1>	        5.0	ntwk
        3.0	<laplace=1>	dates
        3.0	<laplace=1>	Goodo
<laplace=1>	        5.0	08702840625
<laplace=1>	        3.0	Drop
        4.0	<laplace=1>	9ja
        5.0	<laplace=1>	GIVE
        3.0	<laplace=1>	coast
       12.0	<laplace=1>	Life
        4.0	<laplace=1>	Smiling
<laplace=1>	        5.0	Help
        5.0	<laplace=1>	Could
        6.0	        5.0	log
       13.0	<laplace=1>	lol
        3.0	<laplace=1>	bright
        4.0	<laplace=1>	Cook
        3.0	<laplace=1>	paperwork
       13.0	<laplace=1>	Cool
<laplace=1>	        3.0	Scoring
        3.0	<laplace=1>	sleepin
        3.0	<laplace=1>	BEGIN
        8.0	<laplace=1>	planned
        6.0	<laplace=1>	pongal
      145.0	<laplace=1>	lor
        4.0	<laplace=1>	anti
        3.0	<laplace=1>	unknown
       41.0	<laplace=1>	lot
        8.0	        6.0	computer
        3.0	<laplace=1>	lov
<laplace=1>	        3.0	premium
        3.0	<laplace=1>	low
        3.0	<laplace=1>	smeone
<laplace=1>	        5.0	£1500
       15.0	<laplace=1>	meant
       17.0	<laplace=1>	prob
       25.0	<laplace=1>	means
<laplace=1>	        5.0	ansr
<laplace=1>	        5.0	login=
<laplace=1>	        3.0	Canary
        9.0	<laplace=1>	Youre
        5.0	<laplace=1>	centre
        5.0	<laplace=1>	Found
<laplace=1>	        3.0	Usher
        6.0	<laplace=1>	fetch
        7.0	<laplace=1>	barely
<laplace=1>	        3.0	Subscribe6GBP/mnth
        4.0	<laplace=1>	hanging
<laplace=1>	        3.0	randomly
        3.0	<laplace=1>	None
        3.0	<laplace=1>	elaine
        8.0	<laplace=1>	door
        8.0	<laplace=1>	quick
       21.0	<laplace=1>	dad
       90.0	       14.0	tell
        4.0	<laplace=1>	possession
        3.0	<laplace=1>	icicibank
        4.0	<laplace=1>	husband
        8.0	<laplace=1>	experience
<laplace=1>	        3.0	3hrs
       21.0	       23.0	Send
        6.0	       32.0	shows
        9.0	<laplace=1>	Like
<laplace=1>	        5.0	08001950382
       36.0	<laplace=1>	dat
        6.0	<laplace=1>	intro
        7.0	<laplace=1>	checked
        4.0	<laplace=1>	goodnight
        3.0	<laplace=1>	affair
<laplace=1>	        3.0	Yours
        3.0	<laplace=1>	DRINK
      168.0	       10.0	day
        3.0	<laplace=1>	keeps
        5.0	<laplace=1>	Sent
<laplace=1>	        5.0	ec2a
        4.0	<laplace=1>	drinking
        3.0	<laplace=1>	Making
       25.0	        6.0	minutes
        5.0	<laplace=1>	created
        3.0	<laplace=1>	Queen
        3.0	<laplace=1>	island
<laplace=1>	        3.0	KEEP
        3.0	<laplace=1>	sacrifice
       40.0	        3.0	done
        9.0	<laplace=1>	water
<laplace=1>	        3.0	August
        3.0	<laplace=1>	stays
        9.0	<laplace=1>	CAN
       16.0	<laplace=1>	Nope
<laplace=1>	        4.0	08717898035
        3.0	<laplace=1>	Sac
<laplace=1>	        3.0	Box177
        6.0	<laplace=1>	Sad
      188.0	       13.0	dont
<laplace=1>	       11.0	POBox
        3.0	<laplace=1>	Datz
        3.0	<laplace=1>	mathematics
       20.0	       11.0	part
        4.0	        3.0	Sat
<laplace=1>	        7.0	Digital
        7.0	<laplace=1>	Say
        3.0	<laplace=1>	Muah
        4.0	<laplace=1>	elsewhere
<laplace=1>	       16.0	Cost
<laplace=1>	        4.0	Sept
<laplace=1>	        9.0	R*reveal
        4.0	<laplace=1>	Qatar
<laplace=1>	       14.0	tones
<laplace=1>	        3.0	82242
       37.0	        4.0	Will
<laplace=1>	        6.0	150p/Msg
       12.0	<laplace=1>	park
        4.0	<laplace=1>	temp
<laplace=1>	        3.0	08701417012150p
        5.0	<laplace=1>	Bad
        7.0	        3.0	TODAY
<laplace=1>	        5.0	TCs
<laplace=1>	        3.0	USER
        3.0	<laplace=1>	Date
       37.0	        8.0	someone
        5.0	        3.0	Youve
        3.0	<laplace=1>	Single
        3.0	<laplace=1>	build
        3.0	<laplace=1>	9pm
        3.0	<laplace=1>	earn
<laplace=1>	        4.0	further
        9.0	<laplace=1>	apartment
        5.0	<laplace=1>	Wine
        5.0	<laplace=1>	Heart
        4.0	<laplace=1>	allah
        3.0	<laplace=1>	def
        6.0	<laplace=1>	Bday
        6.0	       11.0	Customer
        3.0	<laplace=1>	Helloooo
        5.0	<laplace=1>	hasnt
        4.0	<laplace=1>	Much
        4.0	<laplace=1>	Izzit
       22.0	<laplace=1>	den
       21.0	<laplace=1>	luv
        5.0	<laplace=1>	dem
        4.0	<laplace=1>	shouted
        5.0	<laplace=1>	infernal
        6.0	<laplace=1>	Otherwise
        4.0	<laplace=1>	record
        4.0	<laplace=1>	dey
<laplace=1>	        3.0	Incredible
        4.0	<laplace=1>	railway
<laplace=1>	        7.0	announcement
<laplace=1>	        3.0	Space
        4.0	<laplace=1>	flaked
      147.0	<laplace=1>	going
        5.0	<laplace=1>	carefully
        7.0	        5.0	pass
        4.0	<laplace=1>	banks
        8.0	<laplace=1>	past
        4.0	<laplace=1>	milk
        6.0	        3.0	bill
        3.0	<laplace=1>	dorm
<laplace=1>	        3.0	Dave
       15.0	       14.0	easy
<laplace=1>	        3.0	Line
       20.0	       11.0	See
        3.0	<laplace=1>	SURE
        4.0	<laplace=1>	Here
        5.0	<laplace=1>	bathing
<laplace=1>	        6.0	CDs
        3.0	<laplace=1>	Thts
<laplace=1>	        4.0	BONUS
<laplace=1>	        4.0	adult
        5.0	<laplace=1>	*loving
        3.0	<laplace=1>	dokey
        4.0	<laplace=1>	touched
<laplace=1>	        3.0	compare
<laplace=1>	        4.0	Sex
        5.0	<laplace=1>	smile*
        3.0	<laplace=1>	waited
        4.0	<laplace=1>	Storming
        3.0	<laplace=1>	*devouring
       17.0	        4.0	THE
       13.0	       25.0	mins
        8.0	<laplace=1>	wednesday
        3.0	<laplace=1>	brah
        6.0	<laplace=1>	hotel
<laplace=1>	        3.0	term
       13.0	<laplace=1>	mine
       35.0	        3.0	mind
        6.0	<laplace=1>	FONE
        4.0	<laplace=1>	business
        3.0	<laplace=1>	L8R
        5.0	<laplace=1>	outta
        4.0	<laplace=1>	leona
       13.0	<laplace=1>	Jus
        3.0	<laplace=1>	staff
       80.0	        3.0	right
        9.0	<laplace=1>	possible
        3.0	<laplace=1>	shoes
        7.0	<laplace=1>	Juz
        3.0	<laplace=1>	Youd
<laplace=1>	        4.0	Arcade
        5.0	<laplace=1>	REALLY
<laplace=1>	       22.0	Holiday
<laplace=1>	       11.0	Caller
<laplace=1>	        5.0	STORE
       30.0	       72.0	Your
        3.0	<laplace=1>	borrow
<laplace=1>	        7.0	polys
        3.0	<laplace=1>	inch
        5.0	<laplace=1>	under
        3.0	<laplace=1>	desert
       61.0	<laplace=1>	did
        3.0	<laplace=1>	Accounts
        7.0	        6.0	rply
        3.0	<laplace=1>	lyk
       10.0	<laplace=1>	die
        3.0	<laplace=1>	misbehaved
        5.0	        3.0	added
        8.0	<laplace=1>	din
       52.0	<laplace=1>	down
       25.0	<laplace=1>	dis
       40.0	<laplace=1>	She
<laplace=1>	        3.0	$5
      126.0	<laplace=1>	later
        5.0	<laplace=1>	Darren
        5.0	<laplace=1>	brings
<laplace=1>	        3.0	TULIP
        3.0	<laplace=1>	forgotten
        5.0	<laplace=1>	legal
<laplace=1>	        9.0	club
        6.0	<laplace=1>	Lovely
        3.0	<laplace=1>	insha
        3.0	       12.0	info
       21.0	<laplace=1>	test
        4.0	<laplace=1>	journey
        6.0	<laplace=1>	HELLO
       11.0	<laplace=1>	finally
        4.0	<laplace=1>	suntec
        3.0	<laplace=1>	exhaust
        4.0	<laplace=1>	regarding
        6.0	<laplace=1>	Because
       29.0	        3.0	month
        9.0	<laplace=1>	ull
        3.0	       12.0	final
       14.0	<laplace=1>	BSLVYL
<laplace=1>	        5.0	Loyalty
       15.0	<laplace=1>	Sir
        3.0	<laplace=1>	distract
        6.0	<laplace=1>	loan
        8.0	<laplace=1>	rather
      117.0	       22.0	back
<laplace=1>	        3.0	TxtNO
        9.0	<laplace=1>	training
        3.0	<laplace=1>	papers
       56.0	        8.0	miss
        9.0	        7.0	With
        3.0	        3.0	pound
        4.0	<laplace=1>	sheets
<laplace=1>	        3.0	call2optout/N9DX
       11.0	<laplace=1>	wasnt
        3.0	<laplace=1>	bite
        5.0	<laplace=1>	ignore
       14.0	        3.0	company
        4.0	        4.0	Children
        3.0	<laplace=1>	dippeditinaDEW
        3.0	<laplace=1>	prince
        4.0	<laplace=1>	Lacs
        7.0	<laplace=1>	relax
        3.0	<laplace=1>	custom
        3.0	<laplace=1>	blessed
        8.0	       11.0	Congrats
       46.0	        6.0	babe
        3.0	<laplace=1>	Bit
        5.0	<laplace=1>	grand
        3.0	<laplace=1>	Argh
       13.0	<laplace=1>	Wish
        3.0	<laplace=1>	uni
        3.0	<laplace=1>	schedule
        5.0	<laplace=1>	blackberry
       21.0	        3.0	baby
        4.0	<laplace=1>	addie
        3.0	<laplace=1>	1hr
