@relation 'smsSpamCollection'

@attribute Text string
@attribute class-att {0,1}

@data
' Am watching house €“ very entertaining €“ am getting the whole hugh laurie thing €“ even with the stick €“ indeed especially with the stick.',0
' But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.',0
' "So many people seems to be special at first sight But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"',0
' Shes good. How are you. Where r u working now',0
' Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)',0
' "Lol you forgot it eh ? Yes Ill bring it in babe"',0
' Wow so healthy. Old airport rd lor. Cant thk of anything else. But ill b bathing my dog later.',0
' This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm',1
' have got * few things to do. may be in * pub later.',0
' Wat u doing now?',0
' "Im a guy browsin is compulsory"',0
' No i am not having not any movies in my laptop',0
' What should i eat fo lunch senor',0
' "Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh ex Tata AIG who joined TISSCOTayseer."',0
' No im not gonna be able to. || too late notice. || ill be home in a few weeks anyway. || what are the plans',0
' AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.',0
' Please dont say like that. Hi hi hi',0
' Really? I crashed out cuddled on my sofa.',0
' Dont show yourself. How far. Put new pictures up on facebook.',0
' I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...',0
' Boo Im on my way to my moms. Shes making tortilla soup. Yummmm',0
' What not under standing.',0
' "So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in how he always regretted not getting my number etc."',0
' Pls tell nelson that the bbs are no longer comin. The money i was expecting aint coming',0
' I didnt get anything da',0
' I want snow. Its just freezing and windy.',0
' Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...',0
' You stayin out of trouble stranger!!saw Dave the other day he’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ',0
' "Ive got  #  any way I could pick up?"',0
' Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X',1
' U can call me now...',0
' Eatin my lunch...',0
' "What will we do in the shower baby?"',0
' Leave it wif me lar... u wan to carry meh so heavy... Is da num 98321561 familiar to u?',0
' No just send to you. Bec you in temple na.',0
' After completed degree. There is no use in joining finance.',0
' Hi! You just spoke to MANEESHA V. Wed like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.',0
' alright tylers got a minor crisis and has to be home sooner than he thought so be here asap',0
' Do I? I thought I put it back in the box',0
' I have many dependents',0
' "Once a fishrman woke early in d mrng. It was very dark. He waited a while & found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone sun rose up & he found out tht those r nt stones those were diamonds. Moral:Dont wake up early in d mrng GOOD night"',0
' "Hello.How u doing?What u been up 2?When will u b moving out of the flat cos I will need to arrange to pick up the lamp etc. Take care. Hello caroline!"',0
' Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx',0
' "Jus chillaxin what up"',0
' No break time one... How... I come out n get my stuff fr u?',0
' Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm',1
' Ok... Let u noe when i leave my house.',0
' Ive been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.',0
' Midnight at the earliest',0
' Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  #  dollars.',0
' U should make a fb list',0
' "Princess is your kitty shaved or natural?"',0
' "Ahhhh...just woken up!had a bad dream about u thoso i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."',0
' Hes an adult and would learn from the experience. Theres no real danger. I just dont like peeps using drugs they dont need. But no comment',0
' U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565',1
' "You know wot people wear. T shirts jumpers hat belt is all we know. We r at Cribbs"',0
' Me fine..absolutly fine',0
' How much are we getting?',0
' Did you try making another butt.',0
' +123 Congratulations - in this weeks competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm',1
' I am sorry it hurt you.',0
' Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!',1
' Ok. C u then.',0
' Ok leave no need to ask',0
' Pansy! Youve been living in a jungle for two years! Its my driving you should be more worried about!',0
' I remain unconvinced that this isnt an elaborate test of my willpower',0
' You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo',1
' "Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson boytoy. I miss you too ... *teasing kiss*"',0
' 8007 25p 4 Alfie Moons Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity ',1
' Mm have some kanji dont eat anything heavy ok',0
' I dont have any of your file in my bag..i was in work when you called me.i ll tell you if i find anything in my room.',0
' Ya very nice. . .be ready on thursday',0
' Anything lar...',0
' Oh thanks a lot..i already bought 2 eggs ..',0
' I know complain num only..bettr directly go to bsnl offc nd apply for it..',0
' No no. I will check all rooms befor activities',0
' No pic. Please re-send.',0
' cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. Ill b doing da contents pg n cover pg..',0
' I donno if they are scorable',0
' "Send ur birthdate with month and year I will tel u ur LIFE PARTNERS name. and the method of calculation. Reply must."',0
' BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.',0
' Have you finished work yet? :)',0
' Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone',1
' Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.',1
' Gud mrng dear hav a nice day',0
' You are a very very very very bad girl. Or lady.',0
' In e msg jus now. U said thanks for gift.',0
' its still not working. And this time i also tried adding zeros. That was the savings. The checking is  # ',0
' Aiyah e rain like quite big leh. If drizzling i can at least run home.',0
' I have gone into get info bt dont know what to do',0
' Thats a shame! Maybe cld meet for few hrs tomo?',0
' "Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"',1
' Yupz... Ive oredi booked slots 4 my weekends liao... ',0
' Is that on the telly? No its Brdget Jones!',0
' "Sorry man my accounts dry or I would if you want we could trade back half or I could buy some stuff with my credit card"',0
' "WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE TCs POBox334 Stockport SK38xh Cost£1.50/pm Max10mins"',1
' FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline',1
' "Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no jst wana c how it feels walking in heaven with an prince..GN:-)"',0
' "Come to me slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("',0
' If he started searching he will get job in few days.he have great potential and talent.',0
' "As in missionary hook up doggy hook up standing...|"',0
' Ok anyway no need to change with what you said',0
' #  great loxahatchee xmas tree burning update: you can totally see stars here',0
' hope things went well at doctors ;) reminds me i still need 2go.did u c d little thing i left in the lounge?',0
' ELLO BABE U OK?',0
' u go home liao? Ask dad to pick me up at 6...',0
' u say until like dat i dun buy ericsson oso cannot oredi lar...',0
' Oooh I got plenty of those!',0
' Whats a feathery bowa? Is that something guys have that I dont know about?',0
' "Aight Ill grab something to eat too text me when youre back at mu"',0
' wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine KUDIyarasu dhina vaazhthukkal. ..',0
' Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ',0
' I dont know but Im raping dudes at poker',0
' When is school starting. Where will you stay. Whats the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.',0
' Mm not entirely sure i understood that text but hey. Ho. Which weekend?',0
' "Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob offers mobile! T Cs SavaMob POBOX84 M263UZ. £3.00 Sub. 16"',1
' You are gorgeous! keep those pix cumming :) thank you!',0
' Prabha..im soryda..realy..frm heart im sory',0
' It took Mr owl 3 licks',0
' No no. I will check all rooms befor activities',0
' Alright took the morphine. Back in yo.',0
' No:-)i got rumour that you going to buy apartment in chennai:-)',0
' Youve already got a flaky parent. Itsnot supposed to be the childs job to support the parent...not until theyre The Ride age anyway. Im supposed to be there to support you. And now ive hurt you. unintentional. But hurt nonetheless.',0
' Lol ok your forgiven :)',0
' Hi :)finally i completed the course:)',0
' Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.',1
' at bruce b downs & fletcher now',0
' "Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "',1
' Yes I posted a couple of pics on fb. Theres still snow outside too. Im just waking up :)',0
' Well. Balls. Time to make calls',0
' How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)',1
' "Awesome be there in a minute"',0
' Hey ive booked the 2 lessons on sun liao...',0
' S..antha num corrct dane',0
' Is it ok if I stay the night here? Xavier has a sleeping bag and Im getting tired',0
' O. Well uv causes mutations. Sunscreen is like essential thesedays',0
' Boooo you always work. Just quit.',0
' "Can you please ask macho what his price range is does he want something new or used plus it he only interfued in the blackberry bold  #  or any bb"',0
' In which place i can get rooms cheap:-)',0
' So why didnt you holla?',0
' "In case you wake up wondering where I am I forgot I have to take care of something for grandma today should be done before the parade"',0
' Hai priya are you right. What doctor said pa. Where are you.',0
' Is she replying. Has boye changed his phone number',0
' At what time are you coming.',0
' I hope your pee burns tonite.',0
' BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary',1
' For sale - arsenal dartboard. Good condition but no doubles or trebles!',1
' "4 tacos + 1 rajas burrito right?"',0
' At the funeral home with Audrey and dad',0
' Hurry home ',0
